substrate,T_cell,T_sub,time,wavelength,"measurement (t,r,p)",r_background,mW,step
102,845,0,1536.105373,689,3,0.00417,0.145413333,2
102,845,0,1552.449723,781,1,0.00379625,0.995933333,2
102,845,0,1552.449723,781,2,0.00379625,0.116753333,2
102,845,0,1552.449723,781,3,0.00379625,0.21785,2
102,845,0,1568.772321,817,1,0.00365,0.797933333,2
102,845,0,1568.772321,817,2,0.00365,0.074923333,2
102,845,0,1568.772321,817,3,0.00365,0.2506,2
102,845,0,1601.483633,443,1,0.00644,0.736566667,2
102,845,0,1601.483633,443,2,0.00644,1.2696,2
102,845,0,1601.483633,443,3,0.00644,0.383033333,2
102,845,0,1617.818485,514,1,0.00535,1.0225,2
102,845,0,1617.818485,514,2,0.00535,0.494466667,2
102,845,0,1617.818485,514,3,0.00535,0.069146667,2
102,845,0,1634.130736,689,1,0.00418,1.512266667,2
102,845,0,1634.130736,689,2,0.00418,0.461266667,2
102,845,0,1634.130736,689,3,0.00418,0.157773333,2
102,845,0,1650.425036,781,1,0.00380625,0.9339,2
102,845,0,1650.425036,781,2,0.00380625,0.116353333,2
102,845,0,1650.425036,781,3,0.00380625,0.209686667,2
102,845,0,1666.747681,817,1,0.00366,0.7057,2
102,845,0,1666.747681,817,2,0.00366,0.070443333,2
102,845,0,1666.747681,817,3,0.00366,0.21488,2
102,845,0,1699.471457,443,1,0.00645,0.7174,2
102,845,0,1699.471457,443,2,0.00645,1.2914,2
102,845,0,1699.471457,443,3,0.00645,0.384,2
102,845,0,1715.808735,514,1,0.005352593,1.025366667,2
102,845,0,1715.808735,514,2,0.005352593,0.5342,2
102,845,0,1715.808735,514,3,0.005352593,0.070363333,2
102,845,0,1732.118721,689,1,0.00418,1.3669,2
102,845,0,1732.118721,689,2,0.00418,0.436633333,2
102,845,0,1732.118721,689,3,0.00418,0.145426667,2
102,845,0,1748.45043,781,1,0.00380625,0.929933333,2
102,845,0,1748.45043,781,2,0.00380625,0.119803333,2
102,845,0,1748.45043,781,3,0.00380625,0.207416667,2
102,845,0,1764.787143,817,1,0.00366,0.6994,2
102,845,0,1764.787143,817,2,0.00366,0.07249,2
102,845,0,1764.787143,817,3,0.00366,0.210513333,2
102,845,0,1797.524407,443,1,0.00646,0.6981,2
102,845,0,1797.524407,443,2,0.00646,1.309633333,2
102,845,0,1797.524407,443,3,0.00646,0.384,2
102,845,0,1813.838509,514,1,0.00537,0.9852,2
102,845,0,1813.838509,514,2,0.00537,0.5141,2
102,845,0,1813.838509,514,3,0.00537,0.069126667,2
102,845,0,1830.16024,689,1,0.00419,1.342533333,2
102,845,0,1830.16024,689,2,0.00419,0.454166667,2
102,845,0,1830.16024,689,3,0.00419,0.14697,2
102,845,0,1846.420878,781,1,0.00381625,0.962166667,2
102,845,0,1846.420878,781,2,0.00381625,0.124943333,2
102,845,0,1846.420878,781,3,0.00381625,0.20885,2
102,845,0,1862.732853,817,1,0.00367,0.794033333,2
102,845,0,1862.732853,817,2,0.00367,0.082096667,2
102,845,0,1862.732853,817,3,0.00367,0.218883333,2
102,845,0,1895.414772,443,1,0.00647,0.677633333,2
102,845,0,1895.414772,443,2,0.00647,1.325066667,2
102,845,0,1895.414772,443,3,0.00647,0.384,2
102,845,0,1911.744899,514,1,0.005371852,0.968066667,2
102,845,0,1911.744899,514,2,0.005371852,0.5159,2
102,845,0,1911.744899,514,3,0.005371852,0.069153333,2
102,845,0,1928.085533,689,1,0.0042,1.3239,2
102,845,0,1928.085533,689,2,0.0042,0.461833333,2
102,845,0,1928.085533,689,3,0.0042,0.14598,2
102,845,0,1944.424276,781,1,0.00382625,0.977266667,2
102,845,0,1944.424276,781,2,0.00382625,0.130153333,2
102,845,0,1944.424276,781,3,0.00382625,0.209193333,2
102,845,0,1960.724904,817,1,0.00368,0.831266667,2
102,845,0,1960.724904,817,2,0.00368,0.088523333,2
102,845,0,1960.724904,817,3,0.00368,0.22504,2
102,845,0,1993.407202,443,1,0.00648,0.659866667,2
102,845,0,1993.407202,443,2,0.00648,1.344433333,2
102,845,0,1993.407202,443,3,0.00648,0.385,2
102,845,0,2009.727413,514,1,0.00538,0.947633333,2
102,845,0,2009.727413,514,2,0.00538,0.5208,2
102,845,0,2009.727413,514,3,0.00538,0.06896,2
102,845,0,2026.058102,689,1,0.0042,1.347866667,2
102,845,0,2026.058102,689,2,0.0042,0.4856,2
102,845,0,2026.058102,689,3,0.0042,0.150853333,2
102,845,0,2042.377169,781,1,0.00382625,0.981966667,2
102,845,0,2042.377169,781,2,0.00382625,0.13597,2
102,845,0,2042.377169,781,3,0.00382625,0.21168,2
102,845,0,2058.718848,817,1,0.00368,0.745433333,2
102,845,0,2058.718848,817,2,0.00368,0.0847,2
102,845,0,2058.718848,817,3,0.00368,0.211293333,2
102,845,0,2091.535157,443,1,0.00649,0.644066667,2
